2026-02-08 18:01:49,913 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.913617", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_budget", "metric": "budget_musd"}
2026-02-08 18:01:49,914 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.914633", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_budget", "metric": "budget_musd", "top_movie": "Avengers: Endgame", "top_value": 356.0, "rows_returned": 10}
2026-02-08 18:01:49,914 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.914737", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_profit", "metric": "profit"}
2026-02-08 18:01:49,915 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.915717", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_profit", "metric": "profit", "top_movie": "Avatar", "top_value": 2686.706026, "rows_returned": 10}
2026-02-08 18:01:49,915 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.915820", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI lowest_profit", "metric": "profit"}
2026-02-08 18:01:49,916 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.916786", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_profit", "metric": "profit", "top_movie": "Star Wars: The Last Jedi", "top_value": 1032.69883, "rows_returned": 10}
2026-02-08 18:01:49,916 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.916892", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_roi", "metric": "roi"}
2026-02-08 18:01:49,917 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.917872", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_roi", "metric": "roi", "top_movie": "Avatar", "top_value": 12.33631234599156, "rows_returned": 10}
2026-02-08 18:01:49,917 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.917976", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI lowest_roi", "metric": "roi"}
2026-02-08 18:01:49,920 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.920151", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_roi", "metric": "roi", "top_movie": "Star Wars: The Last Jedi", "top_value": 4.442329433333334, "rows_returned": 10}
2026-02-08 18:01:49,920 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.920397", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI most_voted", "metric": "vote_count"}
2026-02-08 18:01:49,922 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.922302", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_voted", "metric": "vote_count", "top_movie": "The Avengers", "top_value": 35720.0, "rows_returned": 10}
2026-02-08 18:01:49,922 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.922513", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_rated", "metric": "vote_average"}
2026-02-08 18:01:49,924 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.924691", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_rated", "metric": "vote_average", "top_movie": "Avengers: Endgame", "top_value": 8.236, "rows_returned": 10}
2026-02-08 18:01:49,924 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.924900", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI lowest_rated", "metric": "vote_average"}
2026-02-08 18:01:49,926 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.926252", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_rated", "metric": "vote_average", "top_movie": "Jurassic World: Fallen Kingdom", "top_value": 6.533, "rows_returned": 10}
2026-02-08 18:01:49,926 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.926362", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI most_popular", "metric": "popularity"}
2026-02-08 18:01:49,927 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.927361", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_popular", "metric": "popularity", "top_movie": "The Avengers", "top_value": 63.2171, "rows_returned": 10}
2026-02-08 18:01:49,927 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.927463", "level": "INFO", "event_type": "advanced_search_start", "message": "Bruce Willis Sci-Fi/Action search"}
2026-02-08 18:01:49,929 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.929125", "level": "INFO", "event_type": "advanced_search_result", "message": "Completed Bruce Willis search", "rows_returned": 0}
2026-02-08 18:01:49,929 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.929228", "level": "INFO", "event_type": "advanced_search_start", "message": "Uma Thurman + Quentin Tarantino search"}
2026-02-08 18:01:49,930 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.930360", "level": "INFO", "event_type": "advanced_search_result", "message": "Completed Uma Thurman search", "rows_returned": 0}
2026-02-08 18:01:49,930 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.930475", "level": "INFO", "event_type": "franchise_analysis_start", "message": "Analyzing franchise vs standalone"}
2026-02-08 18:01:49,937 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.937729", "level": "INFO", "event_type": "franchise_analysis_result", "message": "Computed franchise vs standalone stats", "groups": 2}
2026-02-08 18:01:49,937 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.937909", "level": "INFO", "event_type": "franchise_ranking_start", "message": "Ranking franchises by total revenue"}
2026-02-08 18:01:49,944 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.944431", "level": "INFO", "event_type": "franchise_ranking_result", "message": "Top franchises computed", "rows_returned": 10}
2026-02-08 18:01:49,944 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.944557", "level": "INFO", "event_type": "director_ranking_start", "message": "Ranking directors by total revenue"}
2026-02-08 18:01:49,949 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.949261", "level": "INFO", "event_type": "director_ranking_result", "message": "Top directors computed", "rows_returned": 10}
2026-02-08 18:01:49,949 | INFO | advanced | {"timestamp": "2026-02-08T18:01:49.949423", "level": "INFO", "event_type": "pipeline_complete", "message": "Advanced TMDB analysis completed"}
2026-02-08 18:01:49,949 | INFO | advanced | Advanced analysis completed | rows=18
2026-02-08 18:01:49,953 | INFO | advanced | Saved clean dataset | path=./data/clean/tmdb_clean_after_kpi.csv
2026-02-08 18:12:42,233 | INFO | advanced | Advanced analysis started
2026-02-08 18:12:42,233 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.233756", "level": "INFO", "event_type": "pipeline_start", "message": "Starting advanced TMDB analysis"}
2026-02-08 18:12:42,234 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.234911", "level": "INFO", "event_type": "feature_engineering", "message": "Computed profit and ROI", "total_rows": 18}
2026-02-08 18:12:42,235 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.235017", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_revenue", "metric": "revenue_musd"}
