2026-02-08 18:12:42,233 | INFO | kpi | {"timestamp": "2026-02-08T18:12:42.233343", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_popular", "metric": "popularity", "top_movie": "The Avengers", "top_value": 63.2171, "rows_returned": 10}
2026-02-08 18:12:42,233 | INFO | kpi | {"timestamp": "2026-02-08T18:12:42.233447", "level": "INFO", "event_type": "pipeline_complete", "message": "KPI computation completed"}
2026-02-08 18:12:42,233 | INFO | kpi | KPI computation completed
2026-02-08 18:14:20,697 | INFO | kpi | KPI computation started
2026-02-08 18:14:20,697 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.697551", "level": "INFO", "event_type": "pipeline_start", "message": "Starting KPI computation"}
2026-02-08 18:14:20,703 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.703591", "level": "INFO", "event_type": "feature_engineering", "message": "Computed profit and ROI columns", "total_rows": 18}
2026-02-08 18:14:20,704 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.704196", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_revenue", "metric_column": "revenue_musd"}
2026-02-08 18:14:20,708 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.708415", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_revenue", "metric": "revenue_musd", "top_movie": "Avatar", "top_value": 2923.706026, "rows_returned": 10}
2026-02-08 18:14:20,708 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.708697", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_budget", "metric_column": "budget_musd"}
2026-02-08 18:14:20,712 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.711996", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_budget", "metric": "budget_musd", "top_movie": "Avengers: Endgame", "top_value": 356.0, "rows_returned": 10}
2026-02-08 18:14:20,712 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.712367", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_profit", "metric_column": "profit"}
2026-02-08 18:14:20,718 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.718662", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_profit", "metric": "profit", "top_movie": "Avatar", "top_value": 2686.706026, "rows_returned": 10}
2026-02-08 18:14:20,719 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.719421", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: lowest_profit", "metric_column": "profit"}
2026-02-08 18:14:20,722 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.722168", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_profit", "metric": "profit", "top_movie": "Star Wars: The Last Jedi", "top_value": 1032.69883, "rows_returned": 10}
2026-02-08 18:14:20,722 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.722408", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_roi", "metric_column": "roi"}
